@relation 1344B_Gender

@attribute time {93 ms,156 ms,77 ms,202 ms,248 ms,62 ms,78 ms,46 ms,61 ms,124 ms,92 ms,109 ms,186 ms,139 ms,171 ms,249 ms,264 ms,436 ms,218 ms,108 ms,31 ms,140 ms,187 ms,170 ms,233 ms,686 ms,265 ms,155 ms,234 ms,592 ms,452 ms,217 ms,1699 ms,280 ms,342 ms,311 ms,577 ms,545 ms,405 ms,421 ms}
@attribute memory {47000 KB,5600 KB,67100 KB,68100 KB,50600 KB,72000 KB,35200 KB,4700 KB,36800 KB,48600 KB,4200 KB,68000 KB,75500 KB,115300 KB,43600 KB,82000 KB,69000 KB,42900 KB,99100 KB,5800 KB,36900 KB,55400 KB,55700 KB,55500 KB,52500 KB,121900 KB,16600 KB,7600 KB,37000 KB,73900 KB,41600 KB,115500 KB,52400 KB,71100 KB,4800 KB,40000 KB,11700 KB,42800 KB,103600 KB,145200 KB,82900 KB,5500 KB,63400 KB,38800 KB,33200 KB,21400 KB,8500 KB,55600 KB,83700 KB,85400 KB,82700 KB,72300 KB,70100 KB,107100 KB,3900 KB,46400 KB,68800 KB,68500 KB,71000 KB,36300 KB,37800 KB,35900 KB,13700 KB,8700 KB,5300 KB,3700 KB,83600 KB,99900 KB,4600 KB,100000 KB,103700 KB,149600 KB,2300 KB,90500 KB,83800 KB,12000 KB,101000 KB,55900 KB,52600 KB,69100 KB,53700 KB,62500 KB,36400 KB,17100 KB,23700 KB,116000 KB,53400 KB,84700 KB,8800 KB,75100 KB,9200 KB,65000 KB,51500 KB,52900 KB,65200 KB,50700 KB,53500 KB,52700 KB,54800 KB,81800 KB,85000 KB,104000 KB,44800 KB,32200 KB,8200 KB,81900 KB,67700 KB,102100 KB,87900 KB,7800 KB,71300 KB,68300 KB,146100 KB,39900 KB,100600 KB,39800 KB,7900 KB,99200 KB,12800 KB,15500 KB,84600 KB,83900 KB,98900 KB,107400 KB,106700 KB,47300 KB,61200 KB,9700 KB,48800 KB,60700 KB,64600 KB,74900 KB,50900 KB,1900 KB,29000 KB,99000 KB,40800 KB,52800 KB,58500 KB,74000 KB,75000 KB,56700 KB,37300 KB,80400 KB,82300 KB,59400 KB,18000 KB,102200 KB,6600 KB,98300 KB,68200 KB,38000 KB,21600 KB,107200 KB,130600 KB,102900 KB,10300 KB,42100 KB,115000 KB,40400 KB,37900 KB,53600 KB,8100 KB,68600 KB,119700 KB,180400 KB,61000 KB,132600 KB,6200 KB,48700 KB,18400 KB,13800 KB,114900 KB,31300 KB,21100 KB,67400 KB,121800 KB,4100 KB,5900 KB,15400 KB,13500 KB,36100 KB,101900 KB,88000 KB,53800 KB,70000 KB,177100 KB,9800 KB,58700 KB,6500 KB,22600 KB,12200 KB,69200 KB,9100 KB,131700 KB,59500 KB,12700 KB,5700 KB,119500 KB,241100 KB,108500 KB,66300 KB,178400 KB,120200 KB,14700 KB,142700 KB,33000 KB,12600 KB,55800 KB,17400 KB,28300 KB}
@attribute country {India,Mongolia,'United States',Serbia,Poland,Italy,China,Mexico,'South Korea',Unknown,Indonesia,Belarus,Brazil,Iran,Singapore,Romania,Hungary,Bangladesh,Canada,Norway,Georgia,Russia,Jordan,Denmark,Vietnam,Kazakhstan,Finland,Croatia,Egypt,Taiwan,Turkmenistan,Czechia,Germany,Syria,Australia,Sweden,Reunion,Ukraine,Austria,Armenia,Aruba,Japan,Philippines,Switzerland,Latvia,Lithuania,Cuba,Bulgaria,'United Kingdom',France}
@attribute continent {Asia,'North America',Europe,Unknown,'South America',AsiaEurope,AsiaAfrica,Australia,Africa,'South Africa'}
@attribute program_vocabulary numeric
@attribute program_length numeric
@attribute calculated_estimated_program_length numeric
@attribute volume numeric
@attribute difficulty numeric
@attribute effort numeric
@attribute loc numeric
@attribute slocP numeric
@attribute lsloc numeric
@attribute comments numeric
@attribute blankLine numeric
@attribute cyclomatic_complexity numeric
@attribute numberOfFunction numeric
@attribute gender {male,female}

@data
93 ms,47000 KB,India,Asia,62,263,307.346455,1565.95363,23.327586,36529.91829,31,24,24,7,0,15,3,male
156 ms,5600 KB,Mongolia,Asia,68,258,345.989912,1570.565413,33.939394,53304.03826,26,23,23,3,0,16,1,male
77 ms,67100 KB,India,Asia,50,313,235.951874,1766.526987,24.264706,42864.25778,48,42,39,6,3,18,2,male
202 ms,68100 KB,'United States','North America',72,418,372.595692,2579.028651,53.307692,137482.0658,42,36,35,6,1,26,2,male
202 ms,68100 KB,India,Asia,72,418,372.595692,2579.028651,53.307692,137482.0658,41,36,36,5,0,26,2,male
248 ms,68100 KB,Serbia,Europe,72,418,372.595692,2579.028651,53.307692,137482.0658,41,36,36,5,0,26,2,male
77 ms,50600 KB,Poland,Europe,67,325,339.697386,1971.478987,47.612903,93867.83821,52,43,41,9,2,19,2,male
77 ms,72000 KB,India,Asia,50,345,235.951874,1947.130385,24.264706,47246.54612,57,51,51,6,0,34,2,male
77 ms,72000 KB,India,Asia,50,345,235.951874,1947.130385,24.264706,47246.54612,57,51,51,6,0,34,2,male
202 ms,35200 KB,India,Asia,65,424,326.465006,2553.483953,49.5,126397.4557,66,58,58,8,0,25,3,male
62 ms,4700 KB,India,Asia,66,420,333.324018,2538.64553,72,182782.4782,53,50,50,3,0,24,4,male
78 ms,67100 KB,Italy,Europe,60,408,295.185169,2410.011363,56.230769,135516.7928,65,50,43,15,7,30,2,male
46 ms,36800 KB,'United States','North America',80,463,428.700868,2927.052708,34.795918,101849.4871,59,50,48,9,2,26,2,male
61 ms,48600 KB,China,Asia,84,448,455.166546,2863.758205,51,146051.6685,40,30,27,10,3,23,2,male
124 ms,4200 KB,India,Asia,61,328,301.355699,1945.281847,26.444444,51441.89772,36,27,23,9,4,21,1,male
92 ms,68000 KB,Mexico,'North America',56,397,270.0391,2305.519904,56,129109.1146,64,55,50,9,5,24,2,male
62 ms,75500 KB,China,Asia,55,420,265.212402,2428.17108,23.47619,57004.20678,48,42,42,6,0,44,2,male
109 ms,115300 KB,'South Korea',Asia,33,345,166.465006,1740.315971,0,0,84,78,78,6,0,28,2,male
62 ms,43600 KB,China,Asia,70,448,359.049811,2745.918792,36.5,100226.0359,77,60,53,17,7,31,2,male
186 ms,82000 KB,Unknown,Unknown,41,262,195.034681,1403.678625,17.5,24564.37594,66,34,17,32,17,14,2,male
202 ms,69000 KB,China,Asia,54,399,258.703672,2296.200113,46.357143,106445.2767,83,78,78,5,0,34,2,male
62 ms,42900 KB,China,Asia,76,515,400.214991,3217.682669,42.545455,136897.7718,50,42,40,8,2,33,2,male
139 ms,99100 KB,Poland,Europe,75,405,392.633369,2522.67157,37.317073,94138.71955,52,39,33,13,6,22,2,male
46 ms,5800 KB,China,Asia,85,541,461.238082,3467.480496,49.22449,170684.9583,53,39,36,14,3,29,2,male
93 ms,36900 KB,Indonesia,Asia,73,424,379.34213,2624.485613,42.9,112590.4328,59,46,42,13,4,17,2,male
77 ms,55400 KB,China,Asia,67,441,339.524906,2675.145333,40.228571,107617.2751,72,66,66,6,0,27,2,female
62 ms,55700 KB,China,Asia,84,514,455.166546,3285.651155,41.14,135171.6885,59,54,54,5,0,27,3,male
77 ms,55500 KB,China,Asia,82,405,439.883164,2574.808562,37.411111,96326.4492,53,41,37,12,4,24,2,male
171 ms,52500 KB,'South Korea',Asia,93,533,519.287803,3485.371646,50.689655,176672.2869,58,50,47,8,3,26,2,male
248 ms,121900 KB,Italy,Europe,60,453,294.461535,2675.82144,49.580645,132668.9533,63,55,52,8,3,32,2,male
77 ms,68000 KB,China,Asia,62,479,307.346455,2852.060033,51.206897,146045.1431,65,60,59,5,1,31,3,male
46 ms,16600 KB,Belarus,Europe,66,434,332.930012,2623.267048,19.5,51153.70743,40,34,34,6,0,31,1,male
46 ms,7600 KB,India,Asia,53,350,255.604168,2004.772159,25.411765,50944.7984,80,74,74,6,0,31,1,female
